question_id,bundle_id,explanation_id,correct_answer,part,tags,deployed_at
q30,b30,e30,b,1,13;2;179;182,1969-12-31 23:59:59.999
q31,b31,e31,b,1,1;2;179;181,2017-12-29 14:42:22.994
q32,b32,e32,a,1,3;2;179;182,2017-12-29 14:42:26.005
q33,b33,e33,c,1,4;2;179;183,2017-12-29 14:42:29.023
q34,b34,e34,b,1,5;2;179;181,2017-12-29 14:42:31.954
q35,b35,e35,a,1,6;7;183,2017-12-29 14:42:35.136
q36,b36,e36,b,1,8;2;182,2017-12-29 14:42:38.278
q37,b37,e37,c,1,9;2;179;181,2017-12-29 14:42:41.318
q38,b38,e38,a,1,3;2;182,2017-12-29 14:42:44.485
q39,b39,e39,b,1,10;7;179;183,2017-12-29 14:42:47.475
q40,b40,e40,b,1,11;7;181,2017-12-29 14:42:50.368
q41,b41,e41,d,1,4;2;181,2017-12-29 14:48:43.551
q42,b42,e42,b,1,5;2;179;182,2017-12-29 14:48:46.336
q43,b43,e43,a,1,16;2;183,2017-12-29 14:48:49.124
q44,b44,e44,d,1,13;2;179;184,2017-12-29 14:48:51.991
q45,b45,e45,d,1,6;7;181,2017-12-29 14:48:54.629
q46,b46,e46,a,1,17;7;179;182,2017-12-29 14:48:57.639
q47,b47,e47,d,1,4;2;179;183,2017-12-29 14:49:01.520
q48,b48,e48,d,1,6;7;184,2017-12-29 14:49:05.249
q49,b49,e49,c,1,6;7;179;183,2017-12-29 14:49:08.185
q50,b50,e50,d,1,17;7;179;182,1969-12-31 23:59:59.999
q51,b51,e51,c,1,14;2;181,2017-12-29 14:46:33.376
q52,b52,e52,b,1,22;2;182,2017-12-29 14:46:36.081
q53,b53,e53,c,1,19;2;183,2017-12-29 14:46:38.808
q54,b54,e54,b,1,9;2;179;184,2017-12-29 14:46:42.574
q55,b55,e55,d,1,6;7;181,2017-12-29 14:46:45.793
q56,b56,e56,c,1,15;2;179;182,2017-12-29 14:46:48.521
q57,b57,e57,a,1,20;21;179;183,2017-12-29 14:46:51.375
q58,b58,e58,b,1,5;2;179;184,2017-12-29 14:46:54.000
q59,b59,e59,b,1,17;7;183,2017-12-29 14:46:56.923
q60,b60,e60,a,1,14;2;179;182,2017-12-29 14:46:59.769
q61,b61,e61,c,1,6;7;181,2019-09-17 02:35:42.288
q62,b62,e62,c,1,17;7;185,2019-09-17 02:35:44.452
q63,b63,e63,b,1,4;2;185,2019-09-17 02:35:46.591
q64,b64,e64,d,1,9;2;181,2019-09-17 02:35:48.836
q65,b65,e65,b,1,12;2;183,2019-09-17 02:35:51.001
q66,b66,e66,d,1,15;2;185,2019-09-17 02:35:53.140
q67,b67,e67,c,1,4;2;181,2019-09-17 02:35:55.504
q68,b68,e68,b,1,22;2;185,2019-09-17 02:35:57.669
q69,b69,e69,d,1,1;2;185,2019-09-17 02:35:59.850
q70,b70,e70,d,1,6;7;181,2019-09-17 02:36:02.004
q71,b71,e71,b,1,1;2;179;181,2017-12-29 14:37:52.091
q72,b72,e72,a,1,14;2;179;182,2017-12-29 14:37:55.857
q73,b73,e73,b,1,5;2;179;183,2017-12-29 14:37:59.647
q74,b74,e74,a,1,5;2;179;184,2017-12-29 14:38:04.079
q75,b75,e75,b,1,6;7;181,1969-12-31 23:59:59.999
q76,b76,e76,a,1,8;2;182,2017-12-29 14:38:07.998
q77,b77,e77,c,1,11;7;183,2017-12-29 14:38:11.712
q78,b78,e78,d,1,17;7;184,2017-12-29 14:38:15.221
q79,b79,e79,a,1,4;2;183,2017-12-29 14:38:18.595
q80,b80,e80,d,1,15;2;179;182,2017-12-29 14:38:21.874
q81,b81,e81,b,1,6;7;181,2018-06-14 02:25:15.623
q82,b82,e82,a,1,8;2;185,2018-06-14 02:25:17.887
q83,b83,e83,d,1,6;7;185,1969-12-31 23:59:59.999
q84,b84,e84,c,1,20;21;181,2018-06-14 02:25:20.323
q85,b85,e85,d,1,15;2;183,2018-06-14 02:25:22.534
q86,b86,e86,a,1,13;2;185,2018-06-14 02:25:24.645
q87,b87,e87,b,1,10;7;181,2018-06-14 02:25:26.997
q88,b88,e88,a,1,12;2;185,2018-06-14 02:25:29.194
q89,b89,e89,a,1,14;2;185,2018-06-14 02:25:31.462
q90,b90,e90,a,1,15;2;181,2018-06-14 02:25:33.552
q91,b91,e91,d,1,5;2;179;181,2017-12-29 15:14:16.019
q92,b92,e92,a,1,4;2;182,2017-12-29 15:14:18.878
q93,b93,e93,c,1,22;2;183,1969-12-31 23:59:59.999
q94,b94,e94,c,1,1;2;179;184,2017-12-29 15:14:22.060
q95,b95,e95,d,1,8;2;179;181,2017-12-29 15:14:25.332
q96,b96,e96,c,1,6;7;182,2017-12-29 15:14:28.683
q97,b97,e97,d,1,6;7;183,2017-12-29 15:14:31.645
q98,b98,e98,a,1,5;2;179;184,2017-12-29 15:14:34.507
q99,b99,e99,a,1,18;7;179;182,2017-12-29 15:14:37.560
q100,b100,e100,c,1,22;2;181,2017-12-29 14:41:25.914
q101,b101,e101,b,1,8;2;182,1969-12-31 23:59:59.999
q102,b102,e102,c,1,22;2;179;183,1969-12-31 23:59:59.999
q103,b103,e103,c,1,4;2;184,2017-12-29 14:41:32.184
q104,b104,e104,b,1,6;7;181,2017-12-29 14:41:45.441
q105,b105,e105,d,1,5;2;179;182,2017-12-29 14:41:51.078
q106,b106,e106,a,1,4;2;184,2017-12-29 14:41:56.117
q107,b107,e107,d,1,10;7;179;183,2017-12-29 14:42:14.161
q108,b108,e108,a,1,10;7;182,2017-12-29 14:42:20.092
q109,b109,e109,c,1,4;2;183,2019-06-24 08:54:45.440
q110,b110,e110,c,1,12;2;182,2019-06-24 08:54:47.562
q111,b111,e111,a,1,13;2;181,2019-06-24 08:54:49.887
q112,b112,e112,b,1,14;2;179;182,2019-06-24 08:54:52.084
q113,b113,e113,d,1,14;2;183,2019-06-24 08:54:54.316
q114,b114,e114,b,1,10;7;179;181,2019-06-24 08:54:56.549
q115,b115,e115,a,1,15;2;183,2019-06-24 08:54:58.753
q116,b116,e116,a,1,16;2;179;182,2019-06-24 08:55:00.868
q117,b117,e117,b,1,10;7;181,1969-12-31 23:59:59.999
q118,b118,e118,d,1,14;2;179;182,2019-06-24 08:55:02.998
q119,b119,e119,d,1,4;2;181,2017-12-29 15:10:17.598
q120,b120,e120,b,1,1;2;185,2017-12-29 15:10:21.527
q121,b121,e121,c,1,20;21;185,2017-12-29 15:10:24.678
q122,b122,e122,d,1,8;2;181,2017-12-29 15:10:27.744
q123,b123,e123,a,1,17;7;183,2017-12-29 15:10:31.016
q124,b124,e124,b,1,20;21;185,2017-12-29 15:10:34.362
q125,b125,e125,a,1,6;7;181,2017-12-29 15:10:37.313
q126,b126,e126,c,1,15;2;185,2017-12-29 15:10:40.673
q127,b127,e127,b,1,6;7;185,2017-12-29 15:10:43.799
q128,b128,e128,b,1,13;2;181,2017-12-29 15:10:47.277
q129,b129,e129,b,1,9;2;183,2017-12-29 14:56:59.303
q130,b130,e130,d,1,6;7;182,2017-12-29 14:57:02.454
q131,b131,e131,c,1,19;2;181,2017-12-29 14:57:05.420
q132,b132,e132,a,1,12;2;179;182,2017-12-29 14:57:08.267
q133,b133,e133,b,1,8;2;179;183,2017-12-29 14:57:11.147
q134,b134,e134,b,1,5;2;181,2017-12-29 14:57:14.180
q135,b135,e135,d,1,4;2;183,2017-12-29 14:57:17.175
q136,b136,e136,c,1,3;2;179;182,2017-12-29 14:57:20.230
q137,b137,e137,b,1,5;2;181,2017-12-29 14:57:23.234
q138,b138,e138,c,1,10;7;179;182,1969-12-31 23:59:59.999
q139,b139,e139,a,1,14;2;183,2017-12-29 15:02:25.173
q140,b140,e140,d,1,16;2;179;181,2017-12-29 15:02:27.879
q141,b141,e141,b,1,9;2;183,2017-12-29 15:02:30.600
q142,b142,e142,d,1,12;2;182,2017-12-29 15:02:33.405
q143,b143,e143,c,1,11;7;181,2017-12-29 15:02:36.300
q144,b144,e144,d,1,4;2;182,2017-12-29 15:02:39.194
q145,b145,e145,b,1,13;2;183,2017-12-29 15:02:42.217
q146,b146,e146,b,1,6;7;179;181,2017-12-29 15:02:45.424
q147,b147,e147,b,1,17;7;183,1969-12-31 23:59:59.999
q148,b148,e148,c,1,14;2;182,1969-12-31 23:59:59.999
q149,b149,e149,b,1,13;2;181,2017-12-29 14:58:23.340
q150,b150,e150,d,1,5;2;182,2017-12-29 14:58:26.263
q151,b151,e151,d,1,6;7;181,2017-12-29 14:58:29.332
q152,b152,e152,c,1,5;2;179;183,2017-12-29 14:58:32.298
q153,b153,e153,a,1,8;2;179;182,2017-12-29 14:58:35.383
q154,b154,e154,b,1,18;7;181,2017-12-29 14:58:38.405
q155,b155,e155,c,1,10;7;182,1969-12-31 23:59:59.999
q156,b156,e156,a,1,4;2;183,2017-12-29 14:58:41.384
q157,b157,e157,d,1,14;2;179;181,2017-12-29 14:58:44.446
q158,b158,e158,c,1,8;2;181,2017-12-29 14:37:12.488
q159,b159,e159,a,1,9;2;185,2017-12-29 14:37:17.263
q160,b160,e160,d,1,8;2;185,2017-12-29 14:37:21.522
q161,b161,e161,d,1,5;2;181,2017-12-29 14:37:25.605
q162,b162,e162,b,1,3;2;183,2017-12-29 14:37:29.577
q163,b163,e163,a,1,6;7;185,2017-12-29 14:37:33.312
q164,b164,e164,c,1,10;7;181,2017-12-29 14:37:36.872
q165,b165,e165,b,1,20;21;185,2017-12-29 14:37:40.726
q166,b166,e166,c,1,18;7;185,2017-12-29 14:37:44.428
q167,b167,e167,a,1,5;2;181,2017-12-29 14:37:48.045
q168,b168,e168,d,1,16;2;179;181,2017-12-29 14:53:19.305
q169,b169,e169,c,1,22;2;179;182,2017-12-29 14:53:22.225
q170,b170,e170,b,1,9;2;183,2017-12-29 14:53:25.331
q171,b171,e171,d,1,9;2;184,2017-12-29 14:53:28.307
q172,b172,e172,a,1,5;2;181,2017-12-29 14:53:31.169
q173,b173,e173,a,1,17;7;182,2017-12-29 14:53:33.976
q174,b174,e174,a,1,10;7;183,2017-12-29 14:53:37.075
q175,b175,e175,b,1,17;7;184,2017-12-29 14:53:40.298
q176,b176,e176,d,1,6;7;183,2017-12-29 14:53:43.800
q177,b177,e177,b,1,6;7;182,2017-12-29 14:53:46.931
q178,b178,e178,d,1,9;2;182,2017-12-29 14:57:26.420
q179,b179,e179,c,1,5;2;179;183,2017-12-29 14:57:29.239
q180,b180,e180,b,1,15;2;184,2017-12-29 14:57:32.252
q181,b181,e181,d,1,9;2;181,2017-12-29 14:57:35.532
q182,b182,e182,b,1,4;2;182,2017-12-29 14:57:38.386
q183,b183,e183,d,1,15;2;179;183,2017-12-29 14:57:41.131
q184,b184,e184,a,1,20;21;179;184,2017-12-29 14:57:43.876
q185,b185,e185,a,1,11;7;183,2017-12-29 14:57:46.733
q186,b186,e186,b,1,12;2;182,2017-12-29 14:57:49.672
q187,b187,e187,a,1,4;2;181,2017-12-29 14:46:04.657
q188,b188,e188,c,1,19;2;185,2017-12-29 14:46:07.672
q189,b189,e189,b,1,8;2;185,2017-12-29 14:46:10.726
q190,b190,e190,a,1,6;7;181,2017-12-29 14:46:13.989
q191,b191,e191,b,1,4;2;183,2017-12-29 14:46:16.884
q192,b192,e192,d,1,3;2;185,2017-12-29 14:46:19.614
q193,b193,e193,a,1,4;2;181,2017-12-29 14:46:22.352
q194,b194,e194,d,1,10;7;185,2017-12-29 14:46:25.076
q195,b195,e195,c,1,20;21;185,2017-12-29 14:46:27.819
q196,b196,e196,b,1,17;7;181,2017-12-29 14:46:30.691
q197,b197,e197,a,2,24;25;183;181,2019-10-30 05:12:26.030
q198,b198,e198,a,2,31;32;185;183,2019-10-30 05:12:27.753
q199,b199,e199,b,2,24;33;184;183,2019-10-30 05:12:29.331
q200,b200,e200,c,2,51;24;26;181;185,2019-10-30 05:12:30.963
q201,b201,e201,c,2,28;29;184;183,2019-10-30 05:12:32.668
q202,b202,e202,a,2,24;40;181;185,1969-12-31 23:59:59.999
q203,b203,e203,b,2,38;39;183;185,2019-10-30 05:12:36.112
q204,b204,e204,a,2,24;41;181;185,2019-10-30 05:12:37.758
q205,b205,e205,a,2,44;49;185;181,2019-10-30 05:12:39.436
q206,b206,e206,c,2,31;32;183;185,2019-10-30 05:12:41.098
q207,b207,e207,b,2,51;24;33;181;182,1969-12-31 23:59:59.999
q208,b208,e208,c,2,24;25;181;183,2019-10-30 05:12:42.658
q209,b209,e209,b,2,31;42;185;181,2019-10-30 05:12:44.430
q210,b210,e210,a,2,36;32;185;181,1969-12-31 23:59:59.999
q211,b211,e211,b,2,28;29;181;183,1969-12-31 23:59:59.999
q212,b212,e212,b,2,27;24;26;183;184,2019-10-30 05:12:47.786
q213,b213,e213,a,2,27;24;40;185;183,1969-12-31 23:59:59.999
q214,b214,e214,c,2,31;32;185;183,1969-12-31 23:59:59.999
q215,b215,e215,a,2,30;34;35;183;185,1969-12-31 23:59:59.999
q216,b216,e216,c,2,23;24;25;183;184,2019-10-30 05:12:54.492
q217,b217,e217,a,2,24;48;181;185,2019-10-30 05:12:58.257
q218,b218,e218,b,2,24;50;184;185,2019-10-30 05:13:00.056
q219,b219,e219,c,2,44;45;185;184,1969-12-31 23:59:59.999
q220,b220,e220,a,2,27;31;32;181;185,2019-10-30 05:13:03.568
q221,b221,e221,b,2,36;37;185;183,1969-12-31 23:59:59.999
q222,b222,e222,c,2,24;33;183;181,1969-12-31 23:59:59.999
q223,b223,e223,b,2,36;37;185;183,1969-12-31 23:59:59.999
q224,b224,e224,c,2,28;32;185;183,1969-12-31 23:59:59.999
q225,b225,e225,c,2,30;34;35;181;185,1969-12-31 23:59:59.999
q226,b226,e226,a,2,24;43;184;185,1969-12-31 23:59:59.999
q227,b227,e227,c,2,23;24;25;183;181,1969-12-31 23:59:59.999
q228,b228,e228,b,2,183;185;24;26,1969-12-31 23:59:59.999
q229,b229,e229,a,2,24;33;185;183,2017-12-29 16:09:03.951
q230,b230,e230,b,2,24;48;181;183,1969-12-31 23:59:59.999
q231,b231,e231,c,2,24;33;184;185,1969-12-31 23:59:59.999
q232,b232,e232,a,2,31;32;183;185,2017-12-29 16:09:10.971
q233,b233,e233,c,2,28;29;181;185,2017-12-29 16:09:13.112
q234,b234,e234,a,2,23;24;25;185;181,1969-12-31 23:59:59.999
q235,b235,e235,b,2,24;33;181;185,2017-12-29 16:09:15.373
q236,b236,e236,c,2,44;45;183;185,2017-12-29 16:09:17.527
q237,b237,e237,c,2,23;46;47;185;181,1969-12-31 23:59:59.999
q238,b238,e238,a,2,27;24;26;181;183,2017-12-29 16:09:21.861
q239,b239,e239,a,2,28;29;181;185,1969-12-31 23:59:59.999
q240,b240,e240,b,2,34;35;185;181,2017-12-29 16:09:24.160
q241,b241,e241,b,2,24;40;183;181,2017-12-29 16:09:26.388
q242,b242,e242,b,2,24;41;183;185,2017-12-29 16:09:28.527
q243,b243,e243,c,2,27;28;29;185;183,2017-12-29 16:09:30.617
q244,b244,e244,a,2,31;32;183;185,1969-12-31 23:59:59.999
q245,b245,e245,c,2,24;25;185;183,2017-12-29 16:09:32.760
q246,b246,e246,c,2,30;24;50;185;183,2017-12-29 16:09:34.932
q247,b247,e247,b,2,31;32;181;185,2017-12-29 16:09:37.252
q248,b248,e248,b,2,24;40;184;181,2017-12-29 16:09:39.307
q249,b249,e249,b,2,27;38;39;185;184,2017-12-29 16:09:41.549
q250,b250,e250,c,2,179;38;39;181;185,2017-12-29 16:09:43.810
q251,b251,e251,b,2,36;37;184;183,2017-12-29 16:09:46.033
q252,b252,e252,a,2,24;41;183;181,2017-12-29 16:09:48.134
q253,b253,e253,c,2,31;32;185;183,2017-12-29 16:09:50.315
q254,b254,e254,a,2,36;37;185;183,1969-12-31 23:59:59.999
q255,b255,e255,c,2,31;32;181;185,2017-12-29 16:09:54.759
q256,b256,e256,c,2,34;42;184;183,1969-12-31 23:59:59.999
q257,b257,e257,c,2,30;36;37;181;183,1969-12-31 23:59:59.999
q258,b258,e258,b,2,46;47;184;182,1969-12-31 23:59:59.999
q259,b259,e259,a,2,24;25;182;183,2019-10-30 05:09:40.346
q260,b260,e260,a,2,30;38;39;184;182,1969-12-31 23:59:59.999
q261,b261,e261,c,2,31;32;184;181,2019-10-30 05:09:43.634
q262,b262,e262,a,2,44;45;183;182,1969-12-31 23:59:59.999
q263,b263,e263,b,2,24;48;184;181,1969-12-31 23:59:59.999
q264,b264,e264,a,2,179;38;39;184;182,1969-12-31 23:59:59.999
q265,b265,e265,b,2,24;33;182;181,1969-12-31 23:59:59.999
q266,b266,e266,a,2,24;26;181;184,2019-10-30 05:09:52.285
q267,b267,e267,c,2,30;28;29;184;183,1969-12-31 23:59:59.999
q268,b268,e268,b,2,24;43;184;181,1969-12-31 23:59:59.999
q269,b269,e269,c,2,27;24;26;181;183,1969-12-31 23:59:59.999
q270,b270,e270,a,2,30;34;35;184;181,1969-12-31 23:59:59.999
q271,b271,e271,c,2,36;37;182;183,1969-12-31 23:59:59.999
q272,b272,e272,a,2,31;32;184;183,1969-12-31 23:59:59.999
q273,b273,e273,b,2,179;44;45;181;183,2019-10-30 05:10:03.291
q274,b274,e274,c,2,182;24;40;184,1969-12-31 23:59:59.999
q275,b275,e275,c,2,30;179;34;35;184;181,2019-10-30 05:10:07.226
q276,b276,e276,b,2,30;34;35;183;182,2019-10-30 05:10:08.938
q277,b277,e277,c,2,31;32;182;181,2019-10-30 05:10:10.567
q278,b278,e278,a,2,27;46;47;181;183,2019-10-30 05:10:12.287
q279,b279,e279,a,2,28;29;182;183,2019-10-30 05:10:14.189
q280,b280,e280,b,2,38;39;182;181,2019-10-30 05:10:16.091
q281,b281,e281,c,2,44;45;184;182,1969-12-31 23:59:59.999
q282,b282,e282,a,2,38;39;181;183,1969-12-31 23:59:59.999
q283,b283,e283,a,2,27;179;24;25;182;184,1969-12-31 23:59:59.999
q284,b284,e284,b,2,27;24;33;182;183,2019-10-30 05:10:21.675
q285,b285,e285,a,2,34;35;184;182,1969-12-31 23:59:59.999
q286,b286,e286,b,2,24;40;184;181,1969-12-31 23:59:59.999
q287,b287,e287,a,2,30;34;35;182;181,1969-12-31 23:59:59.999
q288,b288,e288,a,2,24;26;182;181,2019-10-30 05:15:47.137
q289,b289,e289,b,2,51;24;33;183;182,2019-10-30 05:15:48.992
q290,b290,e290,b,2,24;26;183;184,1969-12-31 23:59:59.999
q291,b291,e291,a,2,24;41;182;181,1969-12-31 23:59:59.999
q292,b292,e292,c,2,31;32;183;182,2019-10-30 05:15:54.251
q293,b293,e293,c,2,24;40;181;182,1969-12-31 23:59:59.999
q294,b294,e294,a,2,24;43;182;183,2019-10-30 05:15:55.944
q295,b295,e295,c,2,34;42;181;182,2019-10-30 05:15:57.626
q296,b296,e296,c,2,27;24;48;181;182,1969-12-31 23:59:59.999
q297,b297,e297,b,2,24;40;183;184,2019-10-30 05:16:01.072
q298,b298,e298,c,2,23;24;25;183;182,2019-10-30 05:16:02.852
q299,b299,e299,a,2,27;34;35;182;181,2019-10-30 05:16:04.574
q300,b300,e300,c,2,44;45;181;182,1969-12-31 23:59:59.999
q301,b301,e301,b,2,34;42;183;182,2019-10-30 05:16:06.670
q302,b302,e302,b,2,184;183;31;32,1969-12-31 23:59:59.999
q303,b303,e303,b,2,30;34;42;182;181,1969-12-31 23:59:59.999
q304,b304,e304,a,2,24;26;183;182,1969-12-31 23:59:59.999
q305,b305,e305,b,2,30;38;39;181;182,1969-12-31 23:59:59.999
q306,b306,e306,c,2,27;24;33;182;183,2019-10-30 05:16:11.562
q307,b307,e307,c,2,30;24;48;181;182,1969-12-31 23:59:59.999
q308,b308,e308,a,2,30;34;35;181;182,2019-10-30 05:16:15.002
q309,b309,e309,c,2,28;29;183;184,1969-12-31 23:59:59.999
q310,b310,e310,a,2,28;37;183;182,1969-12-31 23:59:59.999
q311,b311,e311,c,2,34;35;184;183,1969-12-31 23:59:59.999
q312,b312,e312,c,2,23;24;25;183;181,1969-12-31 23:59:59.999
q313,b313,e313,c,2,24;33;185;183,2019-04-12 05:00:48.875
q314,b314,e314,c,2,24;43;185;183,2019-04-12 05:00:50.503
q315,b315,e315,a,2,24;26;181;183,2019-04-12 05:00:52.423
q316,b316,e316,b,2,31;32;184;185,2019-04-12 05:00:54.215
q317,b317,e317,a,2,23;179;24;25;183;185,2019-04-12 05:00:56.067
q318,b318,e318,b,2,24;41;181;185,2019-04-12 05:00:57.978
q319,b319,e319,b,2,24;40;181;185,2019-04-12 05:00:59.765
q320,b320,e320,a,2,36;37;181;185,1969-12-31 23:59:59.999
q321,b321,e321,b,2,23;24;33;183;185,2019-04-12 05:01:03.265
q322,b322,e322,b,2,30;31;32;185;181,2019-04-12 05:01:04.972
q323,b323,e323,a,2,28;29;181;183,2019-04-12 05:01:06.684
q324,b324,e324,a,2,24;26;185;181,2019-04-12 05:01:08.437
q325,b325,e325,c,2,38;39;185;181,2019-04-12 05:01:10.153
q326,b326,e326,b,2,24;43;183;181,1969-12-31 23:59:59.999
q327,b327,e327,c,2,30;36;32;183;185,2019-04-12 05:01:13.870
q328,b328,e328,b,2,179;44;45;183;185,1969-12-31 23:59:59.999
q329,b329,e329,a,2,30;179;38;39;183;185,2019-04-12 05:01:17.473
q330,b330,e330,c,2,34;35;183;185,1969-12-31 23:59:59.999
q331,b331,e331,c,2,31;32;183;185,1969-12-31 23:59:59.999
q332,b332,e332,a,2,24;40;181;185,2019-04-12 05:01:22.784
q333,b333,e333,c,2,30;36;37;184;181,2019-04-12 05:01:24.577
q334,b334,e334,c,2,24;50;185;184,2019-04-12 05:01:26.268
q335,b335,e335,c,2,44;45;181;185,2019-04-12 05:01:28.031
q336,b336,e336,b,2,179;28;29;184;183,2019-04-12 05:01:29.773
q337,b337,e337,c,2,34;35;183;181,1969-12-31 23:59:59.999
q338,b338,e338,b,2,31;32;185;183,1969-12-31 23:59:59.999
q339,b339,e339,c,2,38;39;185;183,2019-04-12 05:01:35.283
q340,b340,e340,b,2,24;41;181;185,1969-12-31 23:59:59.999
q341,b341,e341,c,2,30;38;39;184;183,1969-12-31 23:59:59.999
q342,b342,e342,c,2,179;46;47;183;181,2018-05-18 09:08:23.033
q343,b343,e343,a,2,24;25;182;184,2018-05-18 09:08:25.383
q344,b344,e344,b,2,24;43;182;183,2018-05-18 09:08:28.276
q345,b345,e345,b,2,24;26;184;182,2018-05-18 09:08:30.722
q346,b346,e346,a,2,179;34;35;184;182,1969-12-31 23:59:59.999
q347,b347,e347,b,2,24;43;183;182,1969-12-31 23:59:59.999
q348,b348,e348,a,2,30;31;32;181;184,1969-12-31 23:59:59.999
q349,b349,e349,c,2,24;40;184;182,2018-05-18 09:08:36.273
q350,b350,e350,a,2,179;46;47;182;181,1969-12-31 23:59:59.999
q351,b351,e351,b,2,28;29;181;184,2018-05-18 09:08:41.157
q352,b352,e352,b,2,24;25;184;183,1969-12-31 23:59:59.999
q353,b353,e353,c,2,44;45;184;181,2018-05-18 09:08:44.007
q354,b354,e354,a,2,30;38;39;181;183,1969-12-31 23:59:59.999
q355,b355,e355,c,2,30;36;37;184;181,2018-05-18 09:08:46.436
q356,b356,e356,b,2,30;34;42;181;183,2018-05-18 09:08:49.083
q357,b357,e357,b,2,24;33;183;184,2018-05-18 09:08:51.642
q358,b358,e358,c,2,34;35;181;183,1969-12-31 23:59:59.999
q359,b359,e359,b,2,30;28;37;182;184,2018-05-18 09:08:56.877
q360,b360,e360,c,2,30;36;37;184;181,2018-05-18 09:08:59.562
q361,b361,e361,a,2,24;41;183;182,1969-12-31 23:59:59.999
q362,b362,e362,a,2,30;28;29;182;181,2018-05-18 09:09:04.814
q363,b363,e363,b,2,31;32;181;183,1969-12-31 23:59:59.999
q364,b364,e364,c,2,30;34;42;183;182,1969-12-31 23:59:59.999
q365,b365,e365,a,2,24;41;182;181,1969-12-31 23:59:59.999
q366,b366,e366,a,2,34;35;184;182,2018-05-18 09:09:07.734
q367,b367,e367,c,2,183;181;24;25,1969-12-31 23:59:59.999
q368,b368,e368,b,2,30;24;33;185;183,2019-10-30 05:08:44.493
q369,b369,e369,c,2,184;183;24;40,1969-12-31 23:59:59.999
q370,b370,e370,c,2,181;185;24;48,2019-10-30 05:08:49.469
q371,b371,e371,b,2,184;183;24;33,2019-10-30 05:08:52.587
q372,b372,e372,c,2,181;185;27;24;26,2019-10-30 05:08:55.634
q373,b373,e373,b,2,183;185;23;24;25,2019-10-30 05:08:57.519
q374,b374,e374,b,2,183;185;30;31;32,2019-10-30 05:08:59.339
q375,b375,e375,a,2,185;181;28;29,2019-10-30 05:09:01.113
q376,b376,e376,b,2,183;185;24;43,2019-10-30 05:09:02.978
q377,b377,e377,a,2,30;31;32;185;181,1969-12-31 23:59:59.999
q378,b378,e378,c,2,24;40;181;183,2019-10-30 05:09:06.586
q379,b379,e379,a,2,185;181;31;32,1969-12-31 23:59:59.999
q380,b380,e380,b,2,36;37;185;181,2019-10-30 05:09:10.102
q381,b381,e381,a,2,31;32;183;181,1969-12-31 23:59:59.999
q382,b382,e382,a,2,183;184;36;37,2019-10-30 05:09:14.611
q383,b383,e383,b,2,31;32;185;183,2019-10-30 05:09:17.056
q384,b384,e384,c,2,44;45;185;183,2019-10-30 05:09:18.880
q385,b385,e385,b,2,24;41;183;185,1969-12-31 23:59:59.999
q386,b386,e386,a,2,38;39;183;184,2019-10-30 05:09:22.222
q387,b387,e387,a,2,34;35;181;185,1969-12-31 23:59:59.999
q388,b388,e388,b,2,44;45;184;185,2019-10-30 05:09:25.663
q389,b389,e389,a,2,24;50;185;184,1969-12-31 23:59:59.999
q390,b390,e390,c,2,44;45;181;185,2019-10-30 05:09:29.415
